Desglose Geográfico,Desglose por sexo,edad_agrupada,Nombre de medidas,Todas las causas,Prom. Número de registros,Valores de medidas
Nacional,Ambos Sexos,70 a 74,Prob. de morir,Todas las causas no excluídas,1,0.136514999
Nacional,Ambos Sexos,65 a 69,Prob. de morir,Todas las causas no excluídas,1,0.092485522
Nacional,Ambos Sexos,60 a 64,Prob. de morir,Todas las causas no excluídas,1,0.064221549
Nacional,Ambos Sexos,55 a 59,Prob. de morir,Todas las causas no excluídas,1,0.043787048
Nacional,Ambos Sexos,50 a 54,Prob. de morir,Todas las causas no excluídas,1,0.029622850
Nacional,Ambos Sexos,45 a 49,Prob. de morir,Todas las causas no excluídas,1,0.021615531
Nacional,Ambos Sexos,40 a 44,Prob. de morir,Todas las causas no excluídas,1,0.015605570
Nacional,Ambos Sexos,35 a 39,Prob. de morir,Todas las causas no excluídas,1,0.012162785
Nacional,Ambos Sexos,30 a 34,Prob. de morir,Todas las causas no excluídas,1,0.010606394
Nacional,Ambos Sexos,25 a 29,Prob. de morir,Todas las causas no excluídas,1,0.008661862
Nacional,Ambos Sexos,20 a 24,Prob. de morir,Todas las causas no excluídas,1,0.007034891
Nacional,Ambos Sexos,15 a 19,Prob. de morir,Todas las causas no excluídas,1,0.004235351
Nacional,Ambos Sexos,10 a 14,Prob. de morir,Todas las causas no excluídas,1,0.001439808
Nacional,Ambos Sexos,5 a 9,Prob. de morir,Todas las causas no excluídas,1,0.001145983
Nacional,Ambos Sexos,1 a 4,Prob. de morir,Todas las causas no excluídas,1,0.002150242
Nacional,Ambos Sexos,Menor de 1,Prob. de morir,Todas las causas no excluídas,1,0.010426660
Nacional,Ambos Sexos,85 años y +,Ai**,Todas las causas no excluídas,1,0.164369703
Nacional,Ambos Sexos,80 a 84,Ai**,Todas las causas no excluídas,1,0.503842375
Nacional,Ambos Sexos,75 a 79,Ai**,Todas las causas no excluídas,1,0.509480266
Nacional,Ambos Sexos,70 a 74,Ai**,Todas las causas no excluídas,1,0.508605828
