año,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_diagnostico_de_diabetes,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_diagnostico_de_diabetes
2020,hombre,-,-,-,-,-,no,,,,
2020,hombre,-,-,-,-,-,si,,,,
2020,mujer,-,-,-,-,-,no,,,,
2020,mujer,-,-,-,-,-,si,,,,
2021,-,-,-,-,-,-,-,11.7,9.8,14.1,7893000
2021,hombre,-,-,-,-,-,-,12.2,9.1,16.1,3766000
2021,mujer,-,-,-,-,-,-,11.4,9.3,13.8,4127000
2021,-,20-39,-,-,-,-,-,,,,
2021,-,40-59,-,-,-,-,-,13.6,10.4,17.6,3307000
2021,-,60+,-,-,-,-,-,27.4,21,34.8,4079000
2021,-,-,rural,-,-,-,-,9,6.1,13.2,1209000
2021,-,-,urbano,-,-,-,-,12.4,10.1,15.2,6684000
2021,-,-,-,norte ,-,-,-,,,,
2021,-,-,-,centro,-,-,-,,,,
2021,-,-,-,cdmx,-,-,-,,,,
2021,-,-,-,sur,-,-,-,,,,
2021,-,-,-,-,primaria o menos ,-,-,,,,
2021,-,-,-,-,secundaria,-,-,,,,
2021,-,-,-,-,media,-,-,,,,
2021,-,-,-,-,superior,-,-,,,,
2021,-,-,-,-,-,bajo,-,12.9,9.5,17.3,2626000
2021,-,-,-,-,-,medio,-,9.1,6.4,12.8,2071000
2021,-,-,-,-,-,alto,-,13.3,9.8,17.7,3195000
2021,-,-,-,-,-,-,no,10.5,8.6,12.9,6400000
2021,-,-,-,-,-,-,si,23,16,31.8,1493000
2021,hombre,20-39,-,-,-,-,-,,,,
2021,hombre,40-59,-,-,-,-,-,11.5,6.8,18.8,1177000
2021,hombre,60+,-,-,-,-,-,28.6,19.9,39.1,2174000
2021,mujer,20-39,-,-,-,-,-,,,,
2021,mujer,40-59,-,-,-,-,-,15.2,11.5,19.8,2129000
2021,mujer,60+,-,-,-,-,-,26.1,19.2,34.5,1905000
2021,hombre,-,rural,-,-,-,-,3.9,2.2,6.7,
2021,hombre,-,urbano,-,-,-,-,14.2,10.5,19,3534000
2021,mujer,-,rural,-,-,-,-,13.2,8.7,19.6,976000
2021,mujer,-,urbano,-,-,-,-,10.9,8.7,13.6,3150000
2021,hombre,-,-,norte ,-,-,-,,,,
2021,hombre,-,-,centro,-,-,-,,,,
