gbd_scat;sexo;Egresos
III.E.01.x. Herida de la cabeza;Hombres;28114
II.A.13.x. Tumor maligno de la próstata;Hombres;42587
II.E.02.x. Trastorno bipolar;Hombres;15944
II.A.08.x. Melanoma y otros tumores malignos de la piel;Hombres;21118
II.A.12.x. Tumor maligno del ovario;Hombres;67
III.I.01.x. Los demás traumatismos, envenenamientos y otras consecuencias de causas externas;Hombres;27957
II.M.09.x. Malformaciones congénitas del corazón;Hombres;26036
II.E.01.x. Depresión unipolar mayor;Hombres;16748
I.A.01.x. Tuberculosis;Hombres;37630
II.M.05.x. Paladar hendido;Hombres;34507
III.E.04.x. Otras heridas;Hombres;47756
II.L.04.x. Espondilopatías y otras dorsopatías;Hombres;28334
I.B.01.c. COVID-19;Hombres;43489
II.L.02.x. Osteoartritis;Hombres;27315
II.N.04.x. Otras enfermedades de la boca;Hombres;32274
III.A.01.x. Fractura de huesos del cráneo y de la cara;Hombres;61639
II.E.09.x. Uso de drogas;Hombres;68926
III.A.04.x. Fractura a nivel de la muñeca y de la mano;Hombres;60750
III.A.07.x. Otras fracturas;Hombres;59735
II.A.15.x. Linfomas y mieloma múltiple;Hombres;48880
I.A.03.x. VIH/SIDA;Hombres;65807
II.A.04.x. Tumor maligno del colon y recto;Hombres;45558
II.E.05.x. Uso de alcohol;Hombres;76776
III.E.02.x. Herida del tórax, del abdomen, de la región lumbosacra y de la pelvis;Hombres;75422
II.J.02.x. Hipertrofia prostática benigna;Hombres;94881
III.C.01.x. Luxaciones, esguinces y desgarros de regiones especificadas y de múltiples regiones del cuerpo;Hombres;60981
I.A.02.x. Otras enfermedades de transmisión sexual;Hombres;6714
III.E.03.x. Heridas de los miembros superior e inferior;Hombres;78069
I.A.11.x. Dengue;Hombres;50288
I.B.02.x. Infecciones respiratorias agudas altas;Hombres;66729
II.E.03.x. Esquizofrenia;Hombres;67493
II.E.04.x. Epilepsia;Hombres;62684
II.A.10.x. Tumor maligno del cuello del útero;Hombres;38
III.F.01.x. Quemaduras y corrosiones;Hombres;79775
I.E.04.x. Anemia;Hombres;56621
III.H.01.x. Complicaciones precoces, complicaciones de atención médica y quirúrgica y secuelas de traumatismos y envenenamientos;Hombres;62260
II.H.02.x. Asma;Hombres;76968
III.G.01.x. Envenenamiento por drogas y sustancias biológicas y efectos tóxicos de sustancias no medicinales;Hombres;84199
I.A.15.x. Otras enfermedades infecciosas;Hombres;85937
II.I.03.x. Cirrosis y otras enfermedades crónicas del hígado;Hombres;112476
II.H.01.x. Enfermedad pulmonar obstructiva crónica;Hombres;81355
II.G.03.x. Enfermedades isquémicas del corazón;Hombres;114665
II.F.05.x. Otros trastornos de los órganos de los sentidos;Hombres;79438
II.E.16.x. Otros trastornos neuropsiquiátricos;Hombres;101439
II.G.02.x. Enfermedades hipertensivas;Hombres;89312
II.F.02.x. Cataratas;Hombres;104218
I.C.08.x. Causas obstétricas indirectas;Hombres;2
I.B.01.a. Bronquitis, bronquiolitis y otras infecciones respiratorias agudas bajas;Hombres;142525
IV.D.01.x. Atención para la anticoncepción;Hombres;35919
I.D.04.x. Infecciones específicas del período perinatal;Hombres;145957
III.A.06.x. Fractura del fémur;Hombres;135783
II.G.04.x. Enfermedad cerebrovascular;Hombres;143034
II.A.09.x. Tumor maligno de la mama;Hombres;5286
II.A.17.x. Otros tumores malignos;Hombres;163970
II.L.05.x. Otras enfermedades musculoesqueléticas;Hombres;133093
II.A.16.x. Leucemia;Hombres;159063
III.D.01.x. Traumatismo intracraneal;Hombres;216858
I.D.01.x. Bajo peso al nacimiento y prematurez;Hombres;164839
II.M.11.x. Otras malformaciones congénitas;Hombres;197388
II.D.01.x. Enfermedades endocrinas, metabólicas, hematológicas e inmunológicas (excepto diabetes mellitus);Hombres;148557
I.C.02.x. Hemorragia obstétrica;Hombres;1
II.H.03.x. Otras enfermedades respiratorias;Hombres;204349
III.A.05.x. Fractura de la pierna, inclusive del tobillo;Hombres;238118
II.K.01.x. Enfermedades de la piel;Hombres;207533
I.A.04.x. Enfermedades infecciosas intestinales;Hombres;215954
II.G.06.x. Otras enfermedades cardiovasculares;Hombres;202068
V.A.01.x. Causas mal definidas;Hombres;203491
II.I.05.x. Hernia inguinal y femoral;Hombres;318587
III.D.02.x. Otros traumatismos;Hombres;326310
III.A.03.x. Fracturas del hombro, del brazo y del antebrazo;Hombres;323929
I.D.03.x. Otras causas perinatales;Hombres;291284
I.D.02.x. Asfixia y trauma al nacimiento;Hombres;366718
I.B.01.b. Neumonía e influenza;Hombres;373315
II.I.04.x. Apendicitis;Hombres;459879
II.B.01.x. Otros tumores;Hombres;166033
II.C.01.x. Diabetes mellitus;Hombres;428196
IV.F.01.x. Los demás factores que influyen en el estado de salud y contacto con los servicios de salud;Hombres;455655
II.J.03.x. Otras enfermedades del sistema genito-urinario;Hombres;323083
II.I.01.x. Colelitiasis y colecistitis;Hombres;191377
II.I.06.x. Otras enfermedades digestivas;Hombres;636240
II.J.01.x. Nefritis y nefrosis;Hombres;815418
I.C.07.x. Otras causas maternas;Hombres;18
I.C.01.x. Parto único espontáneo;Hombres;13
