año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_personas_que_sufrieron_accidente,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_que_sufrieron_accidente
2016,estratificado,mujer,20-39,-,-,-,-,-,,,,
2016,estratificado,mujer,40-59,-,-,-,-,-,,,,
2016,estratificado,mujer,60+,-,-,-,-,-,,,,
2016,estratificado,hombre,-,rural,-,-,-,-,,,,
2016,estratificado,hombre,-,urbano,-,-,-,-,,,,
2016,estratificado,mujer,-,rural,-,-,-,-,,,,
2016,estratificado,mujer,-,urbano,-,-,-,-,,,,
2016,estratificado,hombre,-,-,norte ,-,-,-,,,,
2016,estratificado,hombre,-,-,centro,-,-,-,,,,
2016,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2016,estratificado,hombre,-,-,sur,-,-,-,,,,
2016,estratificado,mujer,-,-,norte ,-,-,-,,,,
2016,estratificado,mujer,-,-,centro,-,-,-,,,,
2016,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2016,estratificado,mujer,-,-,sur,-,-,-,,,,
2016,estratificado,hombre,-,-,-,primaria o menos,-,-,,,,
2016,estratificado,hombre,-,-,-,secundaria,-,-,,,,
2016,estratificado,hombre,-,-,-,media,-,-,,,,
2016,estratificado,hombre,-,-,-,superior,-,-,,,,
2016,estratificado,mujer,-,-,-,primaria o menos,-,-,,,,
2016,estratificado,mujer,-,-,-,secundaria,-,-,,,,
2016,estratificado,mujer,-,-,-,media,-,-,,,,
2016,estratificado,mujer,-,-,-,superior,-,-,,,,
2016,estratificado,hombre,-,-,-,-,bajo,-,,,,
2016,estratificado,hombre,-,-,-,-,medio,-,,,,
2016,estratificado,hombre,-,-,-,-,alto,-,,,,
2016,estratificado,mujer,-,-,-,-,bajo,-,,,,
2016,estratificado,mujer,-,-,-,-,medio,-,,,,
2016,estratificado,mujer,-,-,-,-,alto,-,,,,
2016,estratificado,hombre,-,-,-,-,-,no,,,,
2016,estratificado,hombre,-,-,-,-,-,si,,,,
2016,estratificado,mujer,-,-,-,-,-,no,,,,
2016,estratificado,mujer,-,-,-,-,-,si,,,,
2018,nacional,-,-,-,-,-,-,-,4.5,4.2,4.8,"3,724,539"
2018,estratificado,hombre,-,-,-,-,-,-,5.5,5,6,"2,065,368"
2018,estratificado,mujer,-,-,-,-,-,-,3.7,3.3,4,"1,672,970"
2018,estratificado,-,20-39,-,-,-,-,-,4.6,4.2,5.1,"1,696,565"
2018,estratificado,-,40-59,-,-,-,-,-,4,3.6,4.4,"1,185,705"
2018,estratificado,-,60+,-,-,-,-,-,5.2,4.6,5.9,"844,639"
2018,estratificado,-,-,rural,-,-,-,-,4,3.5,4.5,"701,879"
2018,estratificado,-,-,urbano,-,-,-,-,4.6,4.3,5,"3,000,146"
2018,estratificado,-,-,-,norte ,-,-,-,4.4,3.9,4.9,"751,227"
2018,estratificado,-,-,-,centro,-,-,-,4.5,4.1,5,"1,306,030"
2018,estratificado,-,-,-,cdmx,-,-,-,5.5,4.4,6.8,"627,762"
2018,estratificado,-,-,-,sur,-,-,-,4.1,3.7,4.5,"1,035,557"
2018,estratificado,-,-,-,-,primaria o menos,-,-,4.3,3.9,4.9,"1,115,298"
2018,estratificado,-,-,-,-,secundaria,-,-,4.3,3.8,4.9,"972,111"
2018,estratificado,-,-,-,-,media,-,-,4.8,4.1,5.5,"863,343"
2018,estratificado,-,-,-,-,superior,-,-,4.7,4.1,5.4,"763,131"
2018,estratificado,-,-,-,-,-,bajo,-,4.2,3.8,4.7,"1,010,126"
2018,estratificado,-,-,-,-,-,medio,-,5.1,4.6,5.7,"1,354,559"
2018,estratificado,-,-,-,-,-,alto,-,4.2,3.8,4.7,"1,350,592"
2018,estratificado,-,-,-,-,-,-,no,3.3,2.9,3.7,"1,088,821"
2018,estratificado,-,-,-,-,-,-,si,5.3,4.9,5.7,"2,637,966"
2018,estratificado,hombre,20-39,-,-,-,-,-,6.9,6.1,7.8,"1,182,085"
2018,estratificado,hombre,40-59,-,-,-,-,-,4.7,4,5.5,"629,286"
2018,estratificado,hombre,60+,-,-,-,-,-,3.5,2.9,4.2,"246,099"
2018,estratificado,mujer,20-39,-,-,-,-,-,2.6,2.2,3.1,"513,504"
2018,estratificado,mujer,40-59,-,-,-,-,-,3.4,2.9,4,"552,621"
2018,estratificado,mujer,60+,-,-,-,-,-,6.5,5.5,7.6,"598,757"
2018,estratificado,hombre,-,rural,-,-,-,-,5.8,5,6.8,"472,676"
2018,estratificado,hombre,-,urbano,-,-,-,-,5.4,4.9,6,"1,587,738"
2018,estratificado,mujer,-,rural,-,-,-,-,2.4,2,2.9,"225,537"
2018,estratificado,mujer,-,urbano,-,-,-,-,4,3.6,4.5,"1,432,720"
2018,estratificado,hombre,-,-,norte ,-,-,-,4.8,4.1,5.6,"378,449"
2018,estratificado,hombre,-,-,centro,-,-,-,5.7,4.9,6.5,"760,590"
2018,estratificado,hombre,-,-,cdmx,-,-,-,5.7,4.1,7.8,"288,590"
2018,estratificado,hombre,-,-,sur,-,-,-,5.7,5,6.5,"641,884"
2018,estratificado,mujer,-,-,norte ,-,-,-,4,3.5,4.7,"367,559"
2018,estratificado,mujer,-,-,centro,-,-,-,3.6,3,4.2,"564,451"
2018,estratificado,mujer,-,-,cdmx,-,-,-,5.4,4,7.3,"342,947"
2018,estratificado,mujer,-,-,sur,-,-,-,2.8,2.4,3.2,"391,898"
2018,estratificado,hombre,-,-,-,primaria o menos,-,-,4.8,4.1,5.5,"536,838"
2018,estratificado,hombre,-,-,-,secundaria,-,-,5.4,4.6,6.4,"551,773"
2018,estratificado,hombre,-,-,-,media,-,-,6.5,5.4,7.8,"524,634"
2018,estratificado,hombre,-,-,-,superior,-,-,5.6,4.6,6.8,"452,407"
2018,estratificado,mujer,-,-,-,primaria o menos,-,-,4,3.4,4.8,"590,122"
2018,estratificado,mujer,-,-,-,secundaria,-,-,3.4,2.8,4.1,"421,233"
2018,estratificado,mujer,-,-,-,media,-,-,3.3,2.7,4.2,"327,196"
2018,estratificado,mujer,-,-,-,superior,-,-,3.8,3.1,4.7,"310,008"
2018,estratificado,hombre,-,-,-,-,bajo,-,5.5,4.7,6.4,"602,644"
2018,estratificado,hombre,-,-,-,-,medio,-,6.2,5.4,7.1,"739,184"
2018,estratificado,hombre,-,-,-,-,alto,-,4.9,4.2,5.8,"718,960"
2018,estratificado,mujer,-,-,-,-,bajo,-,3.1,2.6,3.7,"405,897"
2018,estratificado,mujer,-,-,-,-,medio,-,4.2,3.6,5,"614,782"
2018,estratificado,mujer,-,-,-,-,alto,-,3.6,3.1,4.2,"629,434"
2018,estratificado,hombre,-,-,-,-,-,no,5,4.3,5.7,"827,422"
2018,estratificado,hombre,-,-,-,-,-,si,5.9,5.3,6.6,"1,239,218"
2018,estratificado,mujer,-,-,-,-,-,no,1.6,1.3,2,"263,138"
2018,estratificado,mujer,-,-,-,-,-,si,4.9,4.4,5.4,"1,409,693"
2020,nacional,-,-,-,-,-,-,-,,,,
2020,estratificado,hombre,-,-,-,-,-,-,,,,
2020,estratificado,mujer,-,-,-,-,-,-,,,,
2020,estratificado,-,20-39,-,-,-,-,-,,,,
2020,estratificado,-,40-59,-,-,-,-,-,,,,
2020,estratificado,-,60+,-,-,-,-,-,,,,
2020,estratificado,-,-,rural,-,-,-,-,,,,
2020,estratificado,-,-,urbano,-,-,-,-,,,,
2020,estratificado,-,-,-,norte ,-,-,-,,,,
2020,estratificado,-,-,-,centro,-,-,-,,,,
2020,estratificado,-,-,-,cdmx,-,-,-,,,,
2020,estratificado,-,-,-,sur,-,-,-,,,,
2020,estratificado,-,-,-,-,primaria o menos,-,-,,,,
2020,estratificado,-,-,-,-,secundaria,-,-,,,,
2020,estratificado,-,-,-,-,media,-,-,,,,
2020,estratificado,-,-,-,-,superior,-,-,,,,
2020,estratificado,-,-,-,-,-,bajo,-,,,,
2020,estratificado,-,-,-,-,-,medio,-,,,,
2020,estratificado,-,-,-,-,-,alto,-,,,,
2020,estratificado,-,-,-,-,-,-,no,,,,
2020,estratificado,-,-,-,-,-,-,si,,,,
2020,estratificado,hombre,20-39,-,-,-,-,-,,,,
2020,estratificado,hombre,40-59,-,-,-,-,-,,,,
2020,estratificado,hombre,60+,-,-,-,-,-,,,,
2020,estratificado,mujer,20-39,-,-,-,-,-,,,,
2020,estratificado,mujer,40-59,-,-,-,-,-,,,,
2020,estratificado,mujer,60+,-,-,-,-,-,,,,
2020,estratificado,hombre,-,rural,-,-,-,-,,,,
2020,estratificado,hombre,-,urbano,-,-,-,-,,,,
2020,estratificado,mujer,-,rural,-,-,-,-,,,,
2020,estratificado,mujer,-,urbano,-,-,-,-,,,,
2020,estratificado,hombre,-,-,norte ,-,-,-,,,,
2020,estratificado,hombre,-,-,centro,-,-,-,,,,
2020,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2020,estratificado,hombre,-,-,sur,-,-,-,,,,
2020,estratificado,mujer,-,-,norte ,-,-,-,,,,
2020,estratificado,mujer,-,-,centro,-,-,-,,,,
2020,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2020,estratificado,mujer,-,-,sur,-,-,-,,,,
2020,estratificado,hombre,-,-,-,primaria o menos,-,-,,,,
2020,estratificado,hombre,-,-,-,secundaria,-,-,,,,
2020,estratificado,hombre,-,-,-,media,-,-,,,,
2020,estratificado,hombre,-,-,-,superior,-,-,,,,
2020,estratificado,mujer,-,-,-,primaria o menos,-,-,,,,
2020,estratificado,mujer,-,-,-,secundaria,-,-,,,,
2020,estratificado,mujer,-,-,-,media,-,-,,,,
2020,estratificado,mujer,-,-,-,superior,-,-,,,,
2020,estratificado,hombre,-,-,-,-,bajo,-,,,,
2020,estratificado,hombre,-,-,-,-,medio,-,,,,
2020,estratificado,hombre,-,-,-,-,alto,-,,,,
2020,estratificado,mujer,-,-,-,-,bajo,-,,,,
2020,estratificado,mujer,-,-,-,-,medio,-,,,,
2020,estratificado,mujer,-,-,-,-,alto,-,,,,
2020,estratificado,hombre,-,-,-,-,-,no,,,,
2020,estratificado,hombre,-,-,-,-,-,si,,,,
2020,estratificado,mujer,-,-,-,-,-,no,,,,
2020,estratificado,mujer,-,-,-,-,-,si,,,,
2021,nacional,-,-,-,-,-,-,-,4.4,3.9,4.9,"3,724,192"
2021,estratificado,hombre,-,-,-,-,-,-,5.2,4.4,6.2,"2,105,640"
2021,estratificado,mujer,-,-,-,-,-,-,3.6,3.1,4.1,"1,589,316"
2021,estratificado,-,20-39,-,-,-,-,-,4.3,3.6,5,"1,687,557"
2021,estratificado,-,40-59,-,-,-,-,-,3.9,3.2,4.7,"1,146,989"
2021,estratificado,-,60+,-,-,-,-,-,5.4,4.4,6.7,"863,204"
2021,estratificado,-,-,rural,-,-,-,-,3.8,3,4.9,"639,408"
2021,estratificado,-,-,urbano,-,-,-,-,4.5,4,5.1,"3,051,640"
