año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_personas_con_diagnostico_de_hipertension,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_diagnostico_de_hipertension
2018,estratificado,-,-,-,-,secundaria,-,-,19.4,17.4,21.6,3720000
2018,estratificado,-,-,-,-,media,-,-,15.0,12.5,17.9,2327000
2018,estratificado,-,-,-,-,superior,-,-,13.1,11.0,15.5,1478000
2018,estratificado,-,-,-,-,-,bajo,-,19.9,18.3,21.7,4238000
2018,estratificado,-,-,-,-,-,medio,-,22.3,20.4,24.3,5138000
2018,estratificado,-,-,-,-,-,alto,-,22.5,20.4,24.8,5815000
2018,estratificado,-,-,-,-,-,-,no,18.9,17.8,20.1,11976000
2018,estratificado,-,-,-,-,-,-,si,46.8,42.1,51.5,3214000
2018,estratificado,hombre,20-39,-,-,-,-,-,6.5,5.2,8.2,773000
2018,estratificado,hombre,40-59,-,-,-,-,-,18.4,15.7,21.4,2004000
2018,estratificado,hombre,60+,-,-,-,-,-,36.7,32.5,41.2,2516000
2018,estratificado,mujer,20-39,-,-,-,-,-,7.1,5.9,8.5,1156000
2018,estratificado,mujer,40-59,-,-,-,-,-,26.4,23.8,29.0,3927000
2018,estratificado,mujer,60+,-,-,-,-,-,51.0,46.6,55.5,4814000
2018,estratificado,hombre,-,rural,-,-,-,-,13.2,11.6,15.1,921000
2018,estratificado,hombre,-,urbano,-,-,-,-,19.3,17.3,21.6,4371000
2018,estratificado,mujer,-,rural,-,-,-,-,22.3,19.8,24.9,1883000
2018,estratificado,mujer,-,urbano,-,-,-,-,24.9,23.0,26.9,8014000
2018,estratificado,hombre,-,-,norte ,-,-,-,21.0,17.9,24.5,1220000
2018,estratificado,hombre,-,-,centro,-,-,-,15.4,13.2,17.9,1608000
2018,estratificado,hombre,-,-,cdmx,-,-,-,19.3,12.7,28.2,811000
2018,estratificado,hombre,-,-,sur,-,-,-,18.1,16.0,20.5,1654000
2018,estratificado,mujer,-,-,norte ,-,-,-,29.1,26.0,32.4,2283000
2018,estratificado,mujer,-,-,centro,-,-,-,21.0,18.7,23.6,2749000
2018,estratificado,mujer,-,-,cdmx,-,-,-,26.0,19.9,33.2,1655000
2018,estratificado,mujer,-,-,sur,-,-,-,24.0,21.6,26.6,3210000
2018,estratificado,hombre,-,-,-,primaria o menos,-,-,24.6,21.8,27.6,2379000
2018,estratificado,hombre,-,-,-,secundaria,-,-,16.1,13.2,19.4,1277000
2018,estratificado,hombre,-,-,-,media,-,-,13.1,10.0,17.0,851000
2018,estratificado,hombre,-,-,-,superior,-,-,14.4,11.4,18.1,785000
2018,estratificado,mujer,-,-,-,primaria o menos,-,-,36.4,33.6,39.4,5286000
2018,estratificado,mujer,-,-,-,secundaria,-,-,21.8,19.2,24.7,2443000
2018,estratificado,mujer,-,-,-,media,-,-,16.3,12.8,20.4,1476000
2018,estratificado,mujer,-,-,-,superior,-,-,11.8,9.0,15.4,693000
2018,estratificado,hombre,-,-,-,-,bajo,-,15.4,13.2,17.8,1386000
2018,estratificado,hombre,-,-,-,-,medio,-,18.2,15.5,21.3,1726000
2018,estratificado,hombre,-,-,-,-,alto,-,19.7,16.9,22.9,2181000
2018,estratificado,mujer,-,-,-,-,bajo,-,23.3,21.1,25.6,2852000
2018,estratificado,mujer,-,-,-,-,medio,-,25.1,22.4,27.9,3411000
2018,estratificado,mujer,-,-,-,-,alto,-,24.6,21.6,27.9,3634000
2018,estratificado,hombre,-,-,-,-,-,no,16.1,14.5,17.7,4326000
2018,estratificado,hombre,-,-,-,-,-,si,37.1,30.5,44.2,967000
2018,estratificado,mujer,-,-,-,-,-,no,21.0,19.5,22.7,7650000
2018,estratificado,mujer,-,-,-,-,-,si,52.7,46.5,58.8,2247000
2020,nacional ,-,-,-,-,-,-,-,,,,
2020,estratificado,hombre,-,-,-,-,-,-,,,,
2020,estratificado,mujer,-,-,-,-,-,-,,,,
2020,estratificado,-,20-39,-,-,-,-,-,,,,
2020,estratificado,-,40-59,-,-,-,-,-,,,,
2020,estratificado,-,60+,-,-,-,-,-,,,,
2020,estratificado,-,-,rural,-,-,-,-,,,,
2020,estratificado,-,-,urbano,-,-,-,-,,,,
2020,estratificado,-,-,-,norte ,-,-,-,,,,
2020,estratificado,-,-,-,centro,-,-,-,,,,
2020,estratificado,-,-,-,cdmx,-,-,-,,,,
2020,estratificado,-,-,-,sur,-,-,-,,,,
2020,estratificado,-,-,-,-,primaria o menos,-,-,,,,
2020,estratificado,-,-,-,-,secundaria,-,-,,,,
2020,estratificado,-,-,-,-,media,-,-,,,,
2020,estratificado,-,-,-,-,superior,-,-,,,,
2020,estratificado,-,-,-,-,-,bajo,-,,,,
2020,estratificado,-,-,-,-,-,medio,-,,,,
2020,estratificado,-,-,-,-,-,alto,-,,,,
2020,estratificado,-,-,-,-,-,-,no,,,,
2020,estratificado,-,-,-,-,-,-,si,,,,
2020,estratificado,hombre,20-39,-,-,-,-,-,,,,
2020,estratificado,hombre,40-59,-,-,-,-,-,,,,
2020,estratificado,hombre,60+,-,-,-,-,-,,,,
2020,estratificado,mujer,20-39,-,-,-,-,-,,,,
2020,estratificado,mujer,40-59,-,-,-,-,-,,,,
2020,estratificado,mujer,60+,-,-,-,-,-,,,,
2020,estratificado,hombre,-,rural,-,-,-,-,,,,
2020,estratificado,hombre,-,urbano,-,-,-,-,,,,
2020,estratificado,mujer,-,rural,-,-,-,-,,,,
2020,estratificado,mujer,-,urbano,-,-,-,-,,,,
2020,estratificado,hombre,-,-,norte ,-,-,-,,,,
2020,estratificado,hombre,-,-,centro,-,-,-,,,,
2020,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2020,estratificado,hombre,-,-,sur,-,-,-,,,,
2020,estratificado,mujer,-,-,norte ,-,-,-,,,,
