año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_diagnostico_de_diabetes,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_diagnostico_de_diabetes
2018,estratificado,hombre,-,-,-,primaria o menos,-,-,14.5,13.3,15.8,"1,621,698"
2018,estratificado,hombre,-,-,-,secundaria,-,-,7.7,6.7,8.9,"786,788"
2018,estratificado,hombre,-,-,-,media,-,-,5.8,4.8,7,"468,135"
2018,estratificado,hombre,-,-,-,superior,-,-,6.5,5.4,7.7,"525,116"
2018,estratificado,mujer,-,-,-,primaria o menos,-,-,20.4,19.1,21.8,"3,009,622"
2018,estratificado,mujer,-,-,-,secundaria,-,-,9.5,8.6,10.6,"1,176,974"
2018,estratificado,mujer,-,-,-,media,-,-,6,5.2,7,"594,902"
2018,estratificado,mujer,-,-,-,superior,-,-,4.2,3.4,5.2,"342,641"
2018,estratificado,hombre,-,-,-,-,bajo,-,8,7.1,9,"876,573"
2018,estratificado,hombre,-,-,-,-,medio,-,9.5,8.5,10.6,"1,132,620"
2018,estratificado,hombre,-,-,-,-,alto,-,9.5,8.5,10.6,"1,393,902"
2018,estratificado,mujer,-,-,-,-,bajo,-,11.5,10.5,12.6,"1,505,746"
2018,estratificado,mujer,-,-,-,-,medio,-,12.3,11.2,13.3,"1,800,433"
2018,estratificado,mujer,-,-,-,-,alto,-,10.5,9.6,11.5,"1,835,850"
2018,estratificado,hombre,-,-,-,-,-,no,4.2,3.7,4.9,"695,035"
2018,estratificado,hombre,-,-,-,-,-,si,12.9,12,13.8,"2,709,477"
2018,estratificado,mujer,-,-,-,-,-,no,3.9,3.4,4.6,"641,400"
2018,estratificado,mujer,-,-,-,-,-,si,15.6,14.8,16.5,"4,488,003"
2020,nacional,-,-,-,-,-,-,-,,,,
2020,estratificado,hombre,-,-,-,-,-,-,,,,
2020,estratificado,mujer,-,-,-,-,-,-,,,,
2020,estratificado,-,20-39,-,-,-,-,-,,,,
2020,estratificado,-,40-59,-,-,-,-,-,,,,
2020,estratificado,-,60+,-,-,-,-,-,,,,
2020,estratificado,-,-,rural,-,-,-,-,,,,
2020,estratificado,-,-,urbano,-,-,-,-,,,,
2020,estratificado,-,-,-,norte ,-,-,-,,,,
2020,estratificado,-,-,-,centro,-,-,-,,,,
2020,estratificado,-,-,-,cdmx,-,-,-,,,,
