año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_personas_con_prueba_de_vih,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_prueba_de_vih
2018,nacional ,-,-,-,-,-,-,-,33.1,32.2,34.0,17531000
2018,estratificado,hombre,-,-,-,-,-,-,27.3,26.1,28.5,6658000
2018,estratificado,mujer,-,-,-,-,-,-,38.0,36.8,39.2,10873000
2018,estratificado,-,20-29,-,-,-,-,-,32.7,31.1,34.2,6350000
2018,estratificado,-,30-39,-,-,-,-,-,36.7,35.3,38.2,6342000
2018,estratificado,-,40-49,-,-,-,-,-,29.6,28.2,31.1,4840000
2018,estratificado,-,-,rural,-,-,-,-,27.2,25.5,29.0,3099000
2018,estratificado,-,-,urbano,-,-,-,-,34.7,33.6,35.7,14432000
2018,estratificado,-,-,-,norte ,-,-,-,33.5,32.0,35.0,3588000
2018,estratificado,-,-,-,centro,-,-,-,33.6,32.0,35.3,6463000
2018,estratificado,-,-,-,cdmx,-,-,-,31.4,28.2,34.8,2128000
2018,estratificado,-,-,-,sur,-,-,-,32.8,31.4,34.2,5352000
2018,estratificado,-,-,-,-,primaria o menos,-,-,20.6,19.1,22.2,2006000
2018,estratificado,-,-,-,-,secundaria,-,-,31.7,30.3,33.2,5352000
2018,estratificado,-,-,-,-,media,-,-,35.7,34.0,37.3,4962000
2018,estratificado,-,-,-,-,superior,-,-,41.7,39.7,43.7,5211000
2018,estratificado,-,-,-,-,-,bajo,-,27.0,25.7,28.4,4230000
2018,estratificado,-,-,-,-,-,medio,-,34.6,33.0,36.1,6061000
2018,estratificado,-,-,-,-,-,alto,-,36.5,35.0,38.1,7240000
2018,estratificado,-,-,-,-,-,-,no,33.1,32.2,34.1,16983000
2018,estratificado,-,-,-,-,-,-,si,30.6,26.1,35.6,548000
2018,estratificado,hombre,20-29,-,-,-,-,-,23.0,21.0,25.0,2122000
2018,estratificado,hombre,30-39,-,-,-,-,-,30.7,28.7,32.9,2414000
2018,estratificado,hombre,40-49,-,-,-,-,-,29.0,26.9,31.1,2122000
2018,estratificado,mujer,20-29,-,-,-,-,-,41.5,39.3,43.6,4228000
2018,estratificado,mujer,30-39,-,-,-,-,-,41.7,39.8,43.7,3927000
2018,estratificado,mujer,40-49,-,-,-,-,-,30.2,28.2,32.2,2717000
2018,estratificado,hombre,-,rural,-,-,-,-,19.1,17.2,21.2,1025000
2018,estratificado,hombre,-,urbano,-,-,-,-,29.6,28.2,31.0,5633000
2018,estratificado,mujer,-,rural,-,-,-,-,34.3,31.9,36.9,2074000
2018,estratificado,mujer,-,urbano,-,-,-,-,39.0,37.6,40.4,8799000
2018,estratificado,hombre,-,-,norte ,-,-,-,27.2,25.3,29.3,1369000
2018,estratificado,hombre,-,-,centro,-,-,-,26.2,24.0,28.4,2340000
2018,estratificado,hombre,-,-,cdmx,-,-,-,28.6,24.3,33.2,897000
2018,estratificado,hombre,-,-,sur,-,-,-,28.1,26.3,30.1,2052000
2018,estratificado,mujer,-,-,norte ,-,-,-,39.1,37.0,41.2,2220000
2018,estratificado,mujer,-,-,centro,-,-,-,40.2,37.9,42.5,4123000
2018,estratificado,mujer,-,-,cdmx,-,-,-,33.8,29.5,38.5,1231000
2018,estratificado,mujer,-,-,sur,-,-,-,36.5,34.7,38.4,3299000
2018,estratificado,hombre,-,-,-,primaria o menos,-,-,13.9,12.0,16.0,613000
2018,estratificado,hombre,-,-,-,secundaria,-,-,24.2,22.2,26.3,1864000
2018,estratificado,hombre,-,-,-,media,-,-,28.1,25.8,30.4,1798000
2018,estratificado,hombre,-,-,-,superior,-,-,40.6,37.9,43.4,2382000
2018,estratificado,mujer,-,-,-,primaria o menos,-,-,26.2,23.9,28.7,1392000
2018,estratificado,mujer,-,-,-,secundaria,-,-,38.1,36.1,40.1,3488000
2018,estratificado,mujer,-,-,-,media,-,-,42.1,39.8,44.5,3164000
2018,estratificado,mujer,-,-,-,superior,-,-,42.6,39.9,45.4,2829000
2018,estratificado,hombre,-,-,-,-,bajo,-,19.7,18.0,21.5,1405000
2018,estratificado,hombre,-,-,-,-,medio,-,26.7,24.6,28.8,2151000
2018,estratificado,hombre,-,-,-,-,alto,-,33.7,31.6,35.9,3103000
2018,estratificado,mujer,-,-,-,-,bajo,-,33.1,31.2,35.1,2825000
2018,estratificado,mujer,-,-,-,-,medio,-,41.3,39.3,43.4,3911000
2018,estratificado,mujer,-,-,-,-,alto,-,38.9,36.8,41.1,4137000
2018,estratificado,hombre,-,-,-,-,-,no,27.3,26.1,28.5,6454000
2018,estratificado,hombre,-,-,-,-,-,si,27.1,21.2,34.0,205000
2018,estratificado,mujer,-,-,-,-,-,no,38.2,36.9,39.4,10529000
2018,estratificado,mujer,-,-,-,-,-,si,33.2,27.0,40.0,343000
2020,nacional ,-,-,-,-,-,-,-,,,,
2020,estratificado,hombre,-,-,-,-,-,-,,,,
2020,estratificado,mujer,-,-,-,-,-,-,,,,
2020,estratificado,-,20-29,-,-,-,-,-,,,,
2020,estratificado,-,30-39,-,-,-,-,-,,,,
2020,estratificado,-,40-49,-,-,-,-,-,,,,
2020,estratificado,-,-,rural,-,-,-,-,,,,
2020,estratificado,-,-,urbano,-,-,-,-,,,,
2020,estratificado,-,-,-,norte ,-,-,-,,,,
2020,estratificado,-,-,-,centro,-,-,-,,,,
2020,estratificado,-,-,-,cdmx,-,-,-,,,,
2020,estratificado,-,-,-,sur,-,-,-,,,,
2020,estratificado,-,-,-,-,primaria o menos,-,-,,,,
2020,estratificado,-,-,-,-,secundaria,-,-,,,,
2020,estratificado,-,-,-,-,media,-,-,,,,
2020,estratificado,-,-,-,-,superior,-,-,,,,
2020,estratificado,-,-,-,-,-,bajo,-,,,,
2020,estratificado,-,-,-,-,-,medio,-,,,,
2020,estratificado,-,-,-,-,-,alto,-,,,,
2020,estratificado,-,-,-,-,-,-,no,,,,
2020,estratificado,-,-,-,-,-,-,si,,,,
2020,estratificado,hombre,20-29,-,-,-,-,-,,,,
2020,estratificado,hombre,30-39,-,-,-,-,-,,,,
2020,estratificado,hombre,40-49,-,-,-,-,-,,,,
2020,estratificado,mujer,20-29,-,-,-,-,-,,,,
2020,estratificado,mujer,30-39,-,-,-,-,-,,,,
2020,estratificado,mujer,40-49,-,-,-,-,-,,,,
2020,estratificado,hombre,-,rural,-,-,-,-,,,,
2020,estratificado,hombre,-,urbano,-,-,-,-,,,,
2020,estratificado,mujer,-,rural,-,-,-,-,,,,
2020,estratificado,mujer,-,urbano,-,-,-,-,,,,
2020,estratificado,hombre,-,-,norte ,-,-,-,,,,
2020,estratificado,hombre,-,-,centro,-,-,-,,,,
2020,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2020,estratificado,hombre,-,-,sur,-,-,-,,,,
2020,estratificado,mujer,-,-,norte ,-,-,-,,,,
2020,estratificado,mujer,-,-,centro,-,-,-,,,,
2020,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2020,estratificado,mujer,-,-,sur,-,-,-,,,,
2020,estratificado,hombre,-,-,-,primaria o menos,-,-,,,,
2020,estratificado,hombre,-,-,-,secundaria,-,-,,,,
2020,estratificado,hombre,-,-,-,media,-,-,,,,
2020,estratificado,hombre,-,-,-,superior,-,-,,,,
2020,estratificado,mujer,-,-,-,primaria o menos,-,-,,,,
2020,estratificado,mujer,-,-,-,secundaria,-,-,,,,
2020,estratificado,mujer,-,-,-,media,-,-,,,,
2020,estratificado,mujer,-,-,-,superior,-,-,,,,
2020,estratificado,hombre,-,-,-,-,bajo,-,,,,
2020,estratificado,hombre,-,-,-,-,medio,-,,,,
2020,estratificado,hombre,-,-,-,-,alto,-,,,,
2020,estratificado,mujer,-,-,-,-,bajo,-,,,,
2020,estratificado,mujer,-,-,-,-,medio,-,,,,
2020,estratificado,mujer,-,-,-,-,alto,-,,,,
2020,estratificado,hombre,-,-,-,-,-,no,,,,
2020,estratificado,hombre,-,-,-,-,-,si,,,,
2020,estratificado,mujer,-,-,-,-,-,no,,,,
2020,estratificado,mujer,-,-,-,-,-,si,,,,
2021,nacional ,-,-,-,-,-,-,-,29.4,27.9,30.9,16311000
2021,estratificado,hombre,-,-,-,-,-,-,23.0,21.0,25.0,6149000
2021,estratificado,mujer,-,-,-,-,-,-,35.4,33.4,37.4,10161000
2021,estratificado,-,20-29,-,-,-,-,-,27.8,25.5,30.2,5458000
2021,estratificado,-,30-39,-,-,-,-,-,34.4,32.0,36.9,6588000
2021,estratificado,-,40-49,-,-,-,-,-,25.6,23.2,28.2,4248000
2021,estratificado,-,-,rural,-,-,-,-,25.0,22.2,28.1,2694000
2021,estratificado,-,-,urbano,-,-,-,-,30.5,28.7,32.2,13617000
2021,estratificado,-,-,-,norte ,-,-,-,31.1,27.3,35.1,3533000
2021,estratificado,-,-,-,centro,-,-,-,27.3,25.2,29.5,6020000
2021,estratificado,-,-,-,cdmx,-,-,-,29.0,25.6,32.7,1503000
2021,estratificado,-,-,-,sur,-,-,-,31.1,28.2,34.3,5254000
2021,estratificado,-,-,-,-,primaria o menos,-,-,18.3,15.8,21.2,1568000
2021,estratificado,-,-,-,-,secundaria,-,-,27.7,25.3,30.2,4744000
2021,estratificado,-,-,-,-,media,-,-,32.7,30.0,35.5,5030000
2021,estratificado,-,-,-,-,superior,-,-,34.4,31.4,37.6,4969000
2021,estratificado,-,-,-,-,-,bajo,-,26.4,24.1,28.9,4375000
2021,estratificado,-,-,-,-,-,medio,-,31.0,28.7,33.5,5557000
2021,estratificado,-,-,-,-,-,alto,-,30.4,27.8,33.1,6379000
2021,estratificado,-,-,-,-,-,-,no,29.0,27.5,30.6,15484000
2021,estratificado,-,-,-,-,-,-,si,39.2,32.0,46.9,827000
2021,estratificado,hombre,20-29,-,-,-,-,-,18.7,16.0,21.7,1809000
2021,estratificado,hombre,30-39,-,-,-,-,-,28.9,25.3,32.9,2601000
2021,estratificado,hombre,40-49,-,-,-,-,-,21.6,18.3,25.2,1740000
2021,estratificado,mujer,20-29,-,-,-,-,-,36.6,33.2,40.2,3649000
2021,estratificado,mujer,30-39,-,-,-,-,-,39.2,36.2,42.4,3987000
2021,estratificado,mujer,40-49,-,-,-,-,-,29.5,26.5,32.7,2508000
2021,estratificado,hombre,-,rural,-,-,-,-,16.8,13.0,21.4,877000
2021,estratificado,hombre,-,urbano,-,-,-,-,24.5,22.3,26.8,5272000
2021,estratificado,mujer,-,rural,-,-,-,-,32.8,28.7,37.2,1817000
2021,estratificado,mujer,-,urbano,-,-,-,-,36.0,33.8,38.3,8344000
2021,estratificado,hombre,-,-,norte ,-,-,-,23.1,18.8,28.0,1275000
2021,estratificado,hombre,-,-,centro,-,-,-,21.2,18.1,24.6,2288000
2021,estratificado,hombre,-,-,cdmx,-,-,-,24.2,19.6,29.5,591000
2021,estratificado,hombre,-,-,sur,-,-,-,25.0,21.5,28.9,1995000
2021,estratificado,mujer,-,-,norte ,-,-,-,38.7,33.4,44.2,2259000
2021,estratificado,mujer,-,-,centro,-,-,-,33.2,30.4,36.1,3732000
2021,estratificado,mujer,-,-,cdmx,-,-,-,33.2,29.3,37.4,911000
2021,estratificado,mujer,-,-,sur,-,-,-,36.7,33.0,40.5,3259000
2021,estratificado,hombre,-,-,-,primaria o menos,-,-,11.8,8.3,16.6,485000
2021,estratificado,hombre,-,-,-,secundaria,-,-,19.2,16.0,22.8,1502000
2021,estratificado,hombre,-,-,-,media,-,-,24.7,21.0,28.8,1841000
2021,estratificado,hombre,-,-,-,superior,-,-,31.5,27.5,35.8,2322000
2021,estratificado,mujer,-,-,-,primaria o menos,-,-,24.3,20.8,28.2,1083000
2021,estratificado,mujer,-,-,-,secundaria,-,-,34.9,31.6,38.4,3242000
2021,estratificado,mujer,-,-,-,media,-,-,40.3,36.8,43.8,3190000
2021,estratificado,mujer,-,-,-,superior,-,-,37.5,33.4,41.8,2647000
2021,estratificado,hombre,-,-,-,-,bajo,-,18.5,15.1,22.5,1471000
2021,estratificado,hombre,-,-,-,-,medio,-,24.7,21.6,28.1,2118000
2021,estratificado,hombre,-,-,-,-,alto,-,24.9,21.8,28.4,2561000
